params,mean_test_score,rank_test_score
"{'colsample_bytree': 0.5, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 0.5}",-27.724743262612147,56
"{'colsample_bytree': 0.5, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 0.7}",-27.724554324165595,55
"{'colsample_bytree': 0.5, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 1.0}",-27.728418328004807,57
"{'colsample_bytree': 0.5, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 0.5}",-27.740068413677445,59
"{'colsample_bytree': 0.5, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 0.7}",-27.738522343327812,58
"{'colsample_bytree': 0.5, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 1.0}",-27.743236044558216,60
"{'colsample_bytree': 0.5, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 0.5}",-27.76056788741028,72
"{'colsample_bytree': 0.5, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 0.7}",-27.758608962718686,69
"{'colsample_bytree': 0.5, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 1.0}",-27.75912017812938,70
"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.5}",-4.93658348505236,30
"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7}",-4.934985200511679,29
"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",-4.917271729930317,28
"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.5}",-5.0510277775604875,37
"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",-5.05271879316513,39
"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 1.0}",-5.051728922856622,38
"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.5}",-5.075157443328277,41
"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7}",-5.075623461747998,42
"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",-5.0747066206023765,40
"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.5}",0.3201580404779873,15
"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7}",0.2782316455650447,24
"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.33203212956832334,11
"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.5}",0.3149193549823746,17
"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7}",0.3165482562545178,16
"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 1.0}",0.2353791248127659,27
"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.5}",0.36921195616207747,5
"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7}",0.32793432470300515,13
"{'colsample_bytree': 0.5, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0.2415907673502111,26
"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 0.5}",-27.753009689654714,67
"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 0.7}",-27.750048446721195,64
"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 1.0}",-27.748616718551357,61
"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 0.5}",-27.75961902734649,71
"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 0.7}",-27.75355715039797,68
"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 1.0}",-27.750782812430725,65
"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 0.5}",-27.781169600642276,81
"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 0.7}",-27.777532769721216,79
"{'colsample_bytree': 0.7, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 1.0}",-27.780131756957843,80
"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.5}",-5.016593001852517,34
"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7}",-5.013681466223882,33
"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",-4.980962336127924,31
"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.5}",-5.129005286513542,44
"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",-5.129165808934451,45
"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 1.0}",-5.128487361525104,43
"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.5}",-5.140979657128152,48
"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7}",-5.173127161514096,51
"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",-5.16350223522348,50
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.5}",0.3204247474726923,14
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7}",0.3339711458329849,10
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.30688901843620203,20
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.5}",0.2880873047847377,22
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7}",0.3073289206071841,19
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 1.0}",0.2821925423528239,23
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.5}",0.26193866977844116,25
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7}",0.3820905966145736,2
"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0.3077403276123848,18
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 0.5}",-27.76569742969325,73
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 0.7}",-27.765899392936433,74
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 3, 'subsample': 1.0}",-27.76694020311675,75
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 0.5}",-27.751724803717128,66
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 0.7}",-27.74870441357673,62
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 4, 'subsample': 1.0}",-27.749021445294293,63
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 0.5}",-27.776140734367306,78
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 0.7}",-27.772552586192578,77
"{'colsample_bytree': 1.0, 'learning_rate': 0.001, 'max_depth': 5, 'subsample': 1.0}",-27.767100333164326,76
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.5}",-5.028463407314839,36
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7}",-5.02232985761855,35
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 1.0}",-5.0105294095791075,32
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.5}",-5.149029109238647,49
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 0.7}",-5.136322360479031,46
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 4, 'subsample': 1.0}",-5.1402300041986475,47
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.5}",-5.191680197900201,52
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 0.7}",-5.220951495308828,54
"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'subsample': 1.0}",-5.2054010476938934,53
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.5}",0.3741986226078075,4
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.7}",0.4045754958830961,1
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.3491032064734178,8
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.5}",0.35607458835121547,6
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 0.7}",0.34229118277931164,9
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'subsample': 1.0}",0.3504819466406465,7
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.5}",0.3034046263775638,21
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.7}",0.32865130487671634,12
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0.3751089299710326,3
